"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"idaho";1;"LOGO";;;
2;"C34,C16,C17,C73";"CP_Elec_6.3x7.7";4;"100u";;;
3;"U9";"QFN-56-1EP_8x8mm_P0.5mm_EP4.5x5.2mm";1;"FT812Q";;;
4;"J16";"microSD_HC_Hirose_DM3D-SF";1;"DM3D-SF";;;
5;"G***";"croptoplogo";1;"LOGO";;;
6;"C1,C10,C12,C18,C19,C20,C21,C24,C25,C26,C28,C30,C31,C32,C43,C45,C46,C47,C48,C51,C52,C56,C58,C61,C62,C78,C79,C80,C82,C83,C84,C85,C66,C72,C89";"C_1206_3216Metric";35;"10u";;;
7;"C2,C3,C5,C6,C7,C8,C9,C14,C15,C22,C23,C27,C29,C33,C35,C36,C37,C39,C41,C42,C44,C49,C50,C53,C54,C55,C57,C59,C60,C63,C64,C65,C69,C74,C76,C77,C81,C86,C88,C87,C75";"C_0402_1005Metric";41;"0.1u";;;
8;"C11,C13,C38,C40";"C_0402_1005Metric";4;"27p";;;
9;"C68,C70,C71";"C_0805_2012Metric";3;"0.1u";;;
10;"D1,D4,D7,D8,D9,D22,D23,D24";"LED_0603_1608Metric";8;"LTSTC190KGKT";;;
11;"D2";"LED_0603_1608Metric";1;"LTSTC190KRKT";;;
12;"D3,D6,D11,D12,D13,D14,D16,D21";"D_0201_0603Metric";8;"TPD1E6B06";;;
13;"D5,D15";"D_SMA";2;"NSR0240HT1G";;;
14;"D10,D17,D18,D19,D20";"SOT-323_SC-70";5;"TPD2E007";;;
15;"F1";"Bourns_Fuse";1;"MF-NSMF110";;;
16;"J1";"PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Right";1;"TSM-106-01-L-SV";;;
17;"J2";"USB_Micro-B_Molex_47346-0001";1;"0473460001";;;
18;"J3";"87583-2010BLF";1;"87583-2010BLF";;;
19;"J4";"PinHeader_2x02_P2.54mm_Vertical_SMD";1;"TSM-102-01-L-DV";;;
20;"J6";"Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal";1;"62684-402100ALF";;;
21;"J7,J8,J9,J10,J11,J12,J13,J14";"solderless_terminal";8;"1702474";;;
22;"J15";"PinHeader_2x12_P2.54mm_Vertical_SMD";1;"TSM-112-01-L-DV";;;
23;"JP1";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm";1;"Solder Jumper";;;
24;"L1,L4,L10";"L_0402_1005Metric";3;"BKP1005HS121";;;
25;"L2";"L_Bourns_SRN6045TA";1;"4.7u";;;
26;"L3";"L_Bourns_SRN6045TA";1;"2.2u";;;
27;"L5,L7,L8,L9,L6";"L_0402_1005Metric";5;"BLM15HD102SN1D";;;
